season,constructorId,name,nationality,url
2010,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2010,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2010,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2010,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
2010,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2010,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2010,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2010,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2010,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2010,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2010,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
2010,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2011,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2011,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2011,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2011,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
2011,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2011,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2011,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2011,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2011,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2011,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2011,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
2011,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2012,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
2012,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2012,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2012,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2012,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
2012,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
2012,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2012,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2012,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2012,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
